2.220.106.204 - - [24/Jan/2013:15:04:54 -0700] "GET www.porshhair.com/Prices/Prices.html HTTP/1.1" 200 1431 "http://www.porshhair.com/Services/Services.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/Prices/Prices.html" 26295
2.220.106.204 - - [24/Jan/2013:15:04:55 -0700] "GET www.porshhair.com/images/image5.jpg HTTP/1.1" 200 40971 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 1 "-" "/var/chroot/home/content/61/10251861/html/images/image5.jpg" 19458
2.220.106.204 - - [24/Jan/2013:15:04:55 -0700] "GET www.porshhair.com/images/image2.jpg HTTP/1.1" 200 37746 "http://www.porshhair.com/Prices/Prices.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17" 0 "-" "/var/chroot/home/content/61/10251861/html/images/image2.jpg" 21589
86.143.16.26 - - [24/Jan/2013:15:05:09 -0700] "GET www.porshhair.com/index.html HTTP/1.1" 200 2103 "http://www.facebook.com/" "Mozilla/5.0 (Windows NT 6.1; rv:18.0) Gecko/20100101 Firefox/18.0" 0 "default-handler" "/var/chroot/home/content/61/10251861/html/index.html" 79312
86.143.16.26 - - [24/Jan/2013:15:05:09 -0700] "GET www.porshhair.com/CSS/style.css HTTP/1.1" 200 1151 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; rv:18.0) Gecko/20100101 Firefox/18.0" 1 "-" "/var/chroot/home/content/61/10251861/html/CSS/style.css" 64135
86.143.16.26 - - [24/Jan/2013:15:05:09 -0700] "GET www.porshhair.com/images/icon.ico HTTP/1.1" 200 5805 "-" "Mozilla/5.0 (Windows NT 6.1; rv:18.0) Gecko/20100101 Firefox/18.0" 0 "-" "/var/chroot/home/content/61/10251861/html/images/icon.ico" 45773
86.143.16.26 - - [24/Jan/2013:15:05:09 -0700] "GET www.porshhair.com/images/Top banner.jpg HTTP/1.1" 200 32696 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; rv:18.0) Gecko/20100101 Firefox/18.0" 0 "-" "/var/chroot/home/content/61/10251861/html/images/Top banner.jpg" 109757
86.143.16.26 - - [24/Jan/2013:15:05:09 -0700] "GET www.porshhair.com/images/homeimage.jpg HTTP/1.1" 200 36523 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; rv:18.0) Gecko/20100101 Firefox/18.0" 0 "-" "/var/chroot/home/content/61/10251861/html/images/homeimage.jpg" 206301
86.143.16.26 - - [24/Jan/2013:15:05:09 -0700] "GET www.porshhair.com/images/mainSalonWeb.jpg HTTP/1.1" 200 861123 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; rv:18.0) Gecko/20100101 Firefox/18.0" 2 "-" "/var/chroot/home/content/61/10251861/html/images/mainSalonWeb.jpg" 4703325
86.143.16.26 - - [24/Jan/2013:15:05:09 -0700] "GET www.porshhair.com/images/background.png HTTP/1.1" 200 744013 "http://www.porshhair.com/index.html" "Mozilla/5.0 (Windows NT 6.1; rv:18.0) Gecko/20100101 Firefox/18.0" 0 "-" "/var/chroot/home/content/61/10251861/html/images/background.png" 8493232
